id,host_since,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
53157697,2021-2022,t,San Jose,37.30979,-121.94907,Entire home/apt,Small groups,2.0,2.0,132.0,2,28,35,4.91,4.94,4.83,4.94,4.91,4.89,4.75
53173821,2017-2020,f,San Jose,37.35076,-121.8677,Entire home/apt,Small groups,2.0,2.0,216.0,3,365,2,4.5,4.0,4.5,3.5,4.0,3.0,0.34
53175512,2013-2016,f,Mountain View,37.39354,-122.08841,Entire home/apt,Small groups,2.0,2.0,245.0,2,499,19,4.84,5.0,4.95,4.84,4.89,4.74,2.65
53176543,2021-2022,t,San Jose,37.30848,-121.9478,Entire home/apt,Small groups,2.0,2.0503137606454507,159.0,2,28,21,4.76,4.9,4.71,4.9,4.95,4.86,2.86
53179807,2013-2016,f,San Jose,37.335011,-121.892281,Entire home/apt,Couple,1.0,1.0,201.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53181735,2017-2020,f,San Jose,37.32413,-121.88594,Private room,Single,1.0,2.0503137606454507,91.0,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0
53182328,2021-2022,t,San Jose,37.30975,-121.94942,Entire home/apt,Small groups,2.0,2.0,125.0,2,28,26,4.69,4.65,4.65,4.81,4.85,4.73,3.64
52975884,2013-2016,f,Mountain View,37.402618,-122.111351,Entire home/apt,Couple,1.0,1.0,213.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52975894,2013-2016,f,Mountain View,37.402618,-122.111351,Entire home/apt,Couple,1.0,1.0,254.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53183559,2013-2016,f,Palo Alto,37.426155,-122.138458,Entire home/apt,Small groups,2.0,2.0,260.0,31,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,0.28
53183576,2013-2016,f,Sunnyvale,37.371288,-122.057396,Entire home/apt,Couple,1.0,1.0,195.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53183594,2013-2016,f,Sunnyvale,37.371288,-122.057396,Entire home/apt,Couple,1.0,1.0,195.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53184857,2021-2022,f,Palo Alto,37.439899,-122.157196,Private room,Single,1.0,1.0,70.0,6,365,1,5.0,4.0,5.0,5.0,5.0,5.0,0.23
52975897,2013-2016,f,Palo Alto,37.408623,-122.124084,Entire home/apt,Couple,1.0,1.0,214.0,31,1125,1,5.0,5.0,5.0,5.0,5.0,3.0,0.17
53186808,2017-2020,f,San Jose,37.33428,-121.89384,Entire home/apt,Small groups,1.0,2.0,235.0,28,390,3,5.0,5.0,5.0,5.0,4.67,5.0,0.48
52975907,2013-2016,f,Palo Alto,37.408623,-122.124084,Entire home/apt,Couple,1.0,1.0,206.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53188148,2017-2020,f,San Jose,37.23374,-121.8,Private room,Couple,1.0,1.0,47.0,1,30,1,5.0,5.0,5.0,5.0,5.0,5.0,0.14
53188553,2017-2020,f,San Jose,37.29399,-121.81725,Entire home/apt,Small groups,2.0,2.0,112.0,1,365,10,4.2,4.2,4.1,4.3,4.5,4.1,1.52
52991244,2013-2016,f,San Jose,37.32504,-121.87773,Private room,Single,1.0,1.0,38.0,2,90,2,2.5,3.5,2.5,3.5,2.0,2.5,0.3
53010526,2017-2020,f,Sunnyvale,37.35397,-122.05937,Entire home/apt,Couple,1.0,1.0,102.0,7,1125,2,4.0,4.0,4.5,3.5,4.5,4.0,0.76
53202850,2017-2020,f,Santa Clara,37.34354,-121.97167,Entire home/apt,Small groups,2.0,3.0,201.0,1,1125,12,4.58,4.58,4.67,4.75,4.83,4.5,1.79
53203118,2017-2020,f,Saratoga,37.27383,-122.00162,Private room,Couple,1.0,1.0,78.0,30,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53214510,2017-2020,f,Mountain View,37.39839,-122.09057,Entire home/apt,Small groups,2.0,2.0,158.0,30,365,4,4.5,4.25,4.75,5.0,4.25,3.75,0.98
53216657,2021-2022,t,San Jose,37.308281,-121.90213,Entire home/apt,Small groups,2.0,2.0,157.0,4,180,6,5.0,5.0,5.0,5.0,5.0,4.67,0.9
53217847,2021-2022,f,San Jose,37.36903,-121.84933,Private room,Couple,1.0,1.0,60.0,3,90,5,4.8,4.8,4.8,4.8,4.4,4.8,0.74
53218913,2013-2016,t,other,37.34383,-122.12427,Private room,Couple,1.0,1.0,998.0,1,1125,6,5.0,5.0,5.0,5.0,5.0,5.0,0.89
53011137,2013-2016,f,Sunnyvale,37.3893,-122.01984,Shared room,Single,1.0,1.0,32.0,3,90,4,4.0,4.5,4.0,4.5,4.75,4.25,0.73
53012255,2013-2016,t,San Jose,37.25906,-121.83595,Private room,Couple,1.0,1.0,47.0,2,90,7,4.57,4.71,4.29,4.71,4.57,4.29,0.98
53015386,2021-2022,f,San Jose,37.41779,-121.86353,Private room,Small groups,1.0,2.0,88.0,1,365,5,5.0,5.0,4.6,5.0,5.0,4.6,0.66
53225640,2013-2016,f,Campbell,37.28218,-121.9454,Entire home/apt,Couple,1.0,1.0,199.0,31,1125,1,4.0,5.0,5.0,5.0,5.0,4.0,0.25
53237971,2013-2016,f,San Jose,37.25988,-121.85263,Entire home/apt,Medium groups,4.0,4.0,313.0,31,365,1,5.0,5.0,4.0,5.0,4.0,5.0,0.64
53016389,2017-2020,f,Santa Clara,37.34899,-121.95057,Private room,Couple,1.0,1.0,123.0,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53246153,2013-2016,f,Milpitas,37.40852,-121.891724,Entire home/apt,Couple,1.0,1.0,184.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53249243,2013-2016,f,Sunnyvale,37.38763,-122.00838,Entire home/apt,Small groups,2.0,2.0,209.0,31,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53257805,2013-2016,f,San Jose,37.25245,-121.85598,Private room,Couple,1.0,1.0,108.0,1,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53263899,2017-2020,f,San Jose,37.32443,-121.8858,Private room,Single,1.0,1.0,95.0,1,365,3,4.33,4.33,4.67,4.33,4.0,4.33,3.0
